Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
ACAD-1051,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex hoyi,"Hoy's Pygmy Shrew, Pygmy Shrew, Thompson's Pygmy Shrew",Approved,Present,Native,Common,Unknown,Not Listed
ACAD-1052,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex palustris,"Northern Water Shrew, Water Shrew, White-Lipped Water Shrew",Approved,Present,Native,Uncommon,Breeder,Not Listed
ACAD-1053,Acadia National Park,Mammal,Soricomorpha,Talpidae,Condylura cristata,Star-Nosed Mole,Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1054,Acadia National Park,Mammal,Soricomorpha,Talpidae,Parascalops breweri,"Brewer's Mole, Hairy-Tailed Mole",Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
ACAD-1055,Acadia National Park,Bird,Accipitriformes,Accipitridae,Accipiter cooperii,Cooper's Hawk,Approved,Present,Native,Uncommon,Unknown,Species of Concern
ACAD-1056,Acadia National Park,Bird,Accipitriformes,Accipitridae,Accipiter gentilis,"Eastern Goshawk, Goshawk, Northern Goshawk",Approved,Present,Native,Uncommon,Breeder,Not Listed
ACAD-1057,Acadia National Park,Bird,Accipitriformes,Accipitridae,Accipiter striatus,"Northern Sharp-Shinned Hawk, Sharp-Shinned Hawk",Approved,Present,Native,Common,Breeder,Species of Concern
ACAD-1058,Acadia National Park,Bird,Accipitriformes,Accipitridae,Aquila chrysaetos,"American Golden Eagle, Golden Eagle",Approved,Present,Native,Occasional,Vagrant,Species of Concern
ACAD-1059,Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo jamaicensis,"Eastern Red-Tailed Hawk, Red-Tailed Hawk",Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1060,Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo lagopus,"American Rough-Legged Hawk, Rough-Legged Hawk",Approved,Present,Native,Uncommon,Resident,Species of Concern
ACAD-1061,Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo lineatus,"Northern Red-Shouldered Hawk, Red-Shouldered Hawk",Approved,Present,Native,Occasional,Migratory,Species of Concern
ACAD-1062,Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo platypterus,"Broad-Winged Hawk, Northern Broad-Winged Hawk",Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1063,Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo swainsoni,Swainson's Hawk,Approved,Not Confirmed,Unknown,Unknown,Unknown,Not Listed
ACAD-1064,Acadia National Park,Bird,Accipitriformes,Accipitridae,Circus cyaneus,"American Marsh Hawk, Marsh Hawk, Northern Harrier",Approved,Present,Native,Uncommon,Breeder,Species of Concern
ACAD-1065,Acadia National Park,Bird,Accipitriformes,Accipitridae,Haliaeetus leucocephalus,"Bald Eagle, Northern Bald Eagle",Approved,Present,Native,Common,Breeder,In Recovery
ACAD-1066,Acadia National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,"Eastern Turkey Vulture, Turkey Vulture",Approved,Present,Native,Common,Unknown,Species of Concern
ACAD-1067,Acadia National Park,Bird,Accipitriformes,Pandionidae,Pandion haliaetus,"American Osprey, Fish Hawk, Osprey",Approved,Present,Native,Common,Unknown,Species of Concern
ACAD-1068,Acadia National Park,Bird,Anseriformes,Anatidae,Aix sponsa,Wood Duck,Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1069,Acadia National Park,Bird,Anseriformes,Anatidae,Anas acuta,"American Pintail, Northern Pintail, Pintail",Approved,Present,Native,Rare,Migratory,Not Listed
ACAD-1070,Acadia National Park,Bird,Anseriformes,Anatidae,Anas americana,"American Wigeon, Baldpate",Approved,Present,Native,Uncommon,Migratory,Not Listed
ACAD-1071,Acadia National Park,Bird,Anseriformes,Anatidae,Anas clypeata,"Northern Shoveler, Shoveller",Approved,Not Confirmed,Native,Unknown,Migratory,Not Listed
ACAD-1072,Acadia National Park,Bird,Anseriformes,Anatidae,Anas crecca,Green-Winged Teal,Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1073,Acadia National Park,Bird,Anseriformes,Anatidae,Anas discors,Blue-Winged Teal,Approved,Present,Native,Uncommon,Breeder,Not Listed
ACAD-1074,Acadia National Park,Bird,Anseriformes,Anatidae,Anas penelope,"Eurasian Wigeon, European Widgeon, Widgeon",Approved,Present,Not Native,Unknown,Vagrant,Not Listed
ACAD-1075,Acadia National Park,Bird,Anseriformes,Anatidae,Anas platyrhynchos,"Common Mallard, Mallard",Approved,Present,Unknown,Common,Breeder,Not Listed
ACAD-1076,Acadia National Park,Bird,Anseriformes,Anatidae,Anas rubripes,"American Black Duck, Black Duck, Common Black Duck, Red-Legged Black Duck",Approved,Present,Native,Abundant,Breeder,Not Listed
